311,Gym,31,1
312,Fitness Product,31,1
313,Fitness Accessories,31,1
321,5 Star Hotel,32,1
322,3 Star Hotel,32,1
323,Budget Hotel,32,1
324,2 Star Hotel,32,1
325,Motels,32,1
331,Party Decorators,33,1
332,Flower Decorators,33,1
333,Stage Decorators,33,1
334,Balloon Decorators,33,1
335,Wedding Decorators,33,1
336,Event Decorators,33,1
341,Dance Class,34,1
342,Guitar Class,34,1
343,Music Class,34,1
344,Singing Class,34,1
351,Cyber Café,35,1
352,Internet Connection,35,1
353,Internet Services,35,1
361,Bakery Cakes,36,1
362,Order Cakes,36,1
363,Special Cakes,36,1
371,Electronics Shop,37,1
372,Electronics Spare Parts,37,1
373,Electronic Repair Services,37,1
381,Online Recharge,38,1
382,D2H Recharge,38,1
383,Mobile Recharge,38,1
384,Electricity Bill Recharge,38,1
391,Baby Care Products,39,1
392,Baby Sitter,39,1
393,Baby Lotion,39,1
394,Baby Soap,39,1
395,Baby Pad,39,1
401,Accidental Insurance,40,1
402,Fire Insurane,40,1
403,4 Wheeler Insurance,40,1
404,2 Wheeler Insurance,40,1
405,Home Insurance,40,1
406,Life Insurance,40,1
407,Medical Insurance,40,1
408,Travel Insurance,40,1
409,Project Insurance,40,1
411,Credit Card,41,1
412,Gold Credit Card,41,1
413,Platinum Cerit Card,41,1
421,Software Company,42,1
422,Website Company,42,1
423,Telecom Company,42,1
424,Voip Providers,42,1
425,Domestic BPO,42,1
426,International BPO,42,1
431,Manufacturer,43,1
441,Private Pest Control,44,1
442,Public Pest Control,44,1
451,Mens Wear,45,1
452,Womens Wear,45,1
453,Shoes,45,1
454,Faishon Mall,45,1
455,Watches ,45,1
456,Backpacks,45,1
457,Jwellery Showroom,45,1
461,Architects,46,1
462,Interior Designers,46,1
463,Building Contractors,46,1
464,Painting Contractors,46,1
465,Waterproofing Contractors,46,1
466,Bedroom Interior Designers,46,1
467,Home Interior Designers,46,1
468,Office Interior Designers,46,1
469,Textured Painting Contractors,46,1
4610,Terrace Waterproofing ,46,1
4611,Flooring Contractors,46,1
4612,Swimming Pool Contractors,46,1
4613,Blue Metal Gravel Suppliers,46,1
4614,Wall Partition Dealers,46,1
4615,Plumbers,46,1
4616,Earthing,46,1
4617,Carpenters,46,1
4618,Home Furtinure  Rentels,46,1
4619,Landscaping Contractors,46,1
4620,Pile Contractors,46,1
4621,Fixtures & Fitting Dealers,46,1
4622,Electrical Contractors,46,1
4623,Curtains & Blinds Dealers,46,1
4624,Roofing Ceiling Contractors,46,1
4625,Furtinure Dealers,46,1
4626,Borewell Contractors,46,1
